"claim_id","phase","subject","claim_text","provenance","status","url","snippet","date_accessed","used_in"
"C001","0","Research environment","All direct HTTP fetches from this session were refused by the organization egress proxy with 403 to CONNECT, including canada.ca, sec.gov and en.wikipedia.org. Only WebSearch was operable, so no source page was opened and no verbatim page snippet could be captured for any claim in this run.","researcher-derived","Verified","http://127.0.0.1:37535/__agentproxy/status","recentRelayFailures: kind=connect_rejected, detail=gateway answered 403 to CONNECT (policy denial or upstream failure), hosts include www.canada.ca:443, www.sec.gov:443, en.wikipedia.org:443","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; OPEN-QUESTIONS.md"
"C002","0","Evidence grade ceiling","Because every source page returned 403, no claim in this run can carry status Verified under the stated rule that Verified requires a live URL and a verbatim snippet. All source-asserted claims below are recorded Unverifiable.","researcher-derived","Verified","http://127.0.0.1:37535/__agentproxy/status","Derived directly from C001 and from the stated evidence rule that paywalled or 403 sources are Unverifiable, not Verified.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md; 02-TRANSACTION-COMPS.md"
"C003","0","Attachments","The two attachments named in the task prompt were absent from the repository. Equivalents were located in the user's Google Drive and read: 'Updated - EcoSpex IP Asset Register.xlsx' and the document 'EcoSpex & Acelab Partnership'.","researcher-derived","Verified","(Google Drive connector; file ids 1XB7EbhH1lyfG-4x7rp6e2Sq6HieV1vpj and 1tdXwS42CbQ0mmqDRM8eY8VutBiGBTO6A_xZMdG777jQ)","Repository at session start contained only README.md and a PNG. Drive search returned both documents.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C004","0","Register source of truth","A correction memo dated in-session supersedes the Drive copy of the IP Asset Register and is the sole source of register facts for this analysis. No register file was opened after the memo was received.","researcher-derived","Verified","(in-session correction memo)","Memo instruction: 'Do not read any IP asset register file, from Drive or anywhere else. This memo is the sole source of register facts for this analysis.'","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C010","0","IP Asset Register composition","The register records 33 named assets across 38 content rows.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, corrected register finding 1.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C011","0","IP Asset Register development cost","28 register rows carry a development cost, totalling CAD 2,613,500. The figure is self-reported, undated and carries no evidence pointer.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, corrected register finding 3.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C012","0","Development cost decomposition","The stated total decomposes approximately as CAD 1,304k attached to a commercial offering, CAD 518k on research into markets never entered, CAD 293k internal operating process, and CAD 500k that is an unspent forward statement of work rather than money spent. Roughly 19 percent of the stated development cost has not been incurred.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, corrected register finding 3.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C013","0","Register substantiation columns","Dev Period, Chain of Title, Data Provenance, Key Person Dependency, Depends On and Evidence Location are 0 percent filled across all rows. Replication Rationale is filled on 2 of 38 rows.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, corrected register finding 1.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md"
"C014","0","Assert-versus-substantiate pattern","Every register column that asserts a claim is populated and every column that substantiates one is empty.","researcher-derived","Not Tested","(in-session correction memo)","Derived from C011 and C013.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
"C015","0","PEL","The register records the Premium Environmental Listing as developed in 2014 as a manual offering to manufacturers, and it is the revenue-bearing offering.","ecospex-asserted","Not Tested","(in-session correction memo)","Memo, corrected register finding 2.","2026-09-03","00-SCOPE-AND-GROUND-TRUTH.md; 01-ACQUIRER-CATEGORIES.md"
